Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Alt Text,SEO Title,SEO Description,Cost per item
dhc-color-lip-cream-natural-aroma-1-5g,DHC Color Lip Cream Natural Aroma (1.5g),"<p><strong>The Skin Boutique Curates: DHC Color Lip Cream Natural Aroma (1.5g)</strong></p>
<p>Moisturize and naturally brighten your lips with a natural color and fragrant aroma.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",DHC,Lip Balms,"kbeauty, DHC, Lip Balms",TRUE,KY-10000-0,454.63,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/dhc__natural_aroma_moisture_c_1632331409_5044d87c_progressive.jpg?v=1699675736,DHC - DHC Color Lip Cream Natural Aroma (1.5g),DHC Color Lip Cream Natural Aroma (1.5g) | The Skin Boutique,The Skin Boutique Curates: DHC Color Lip Cream Natural Aroma (1.5g) Moisturize and naturally brighten your lips with a natural color and fragrant aroma. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.,235.95
dhc-color-lip-cream-natural-aroma-1-5g,,,,,,,KY-10000-1,454.63,,TRUE,TRUE,100,deny,,,,,
joocyee-happy-me-day-crystal-gloss-8ml,JOOCYEE Happy Me Day Crystal Gloss (8ml),"<p><strong>The Skin Boutique Curates: JOOCYEE Happy Me Day Crystal Gloss (8ml)</strong></p>
<p>Experience the best of K-Beauty with JOOCYEE Happy Me Day Crystal Gloss (8ml) by JOOCYEE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",JOOCYEE,Lip Gloss,"kbeauty, JOOCYEE, Lip Gloss",TRUE,KY-10001,495.96,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JOOCYEE_Crystal_Gloss.png?v=1772255028,JOOCYEE - JOOCYEE Happy Me Day Crystal Gloss (8ml),JOOCYEE Happy Me Day Crystal Gloss (8ml) | The Skin Boutique,The Skin Boutique Curates: JOOCYEE Happy Me Day Crystal Gloss (8ml) Experience the best of K-Beauty with JOOCYEE Happy Me Day Crystal Gloss (8ml) by JOOCYEE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for,257.40
the-saem-jeju-fresh-soothing-aloe-gel-99-300ml,The SAEM Jeju Fresh Soothing Aloe Gel 99% (300ml),"<p><strong>The Skin Boutique Curates: The SAEM Jeju Fresh Soothing Aloe Gel 99% (300ml)</strong></p>
<p>A multi-purpose gel containing 99% aloe vera leaf juice from Jeju Island. Can be used to moisturize, repair, or relieve irritated or sensitive skin!</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",The SAEM,Gel,"kbeauty, The SAEM, Gel",TRUE,KY-10002-0,289.31,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/products/Meena-2022-05-16T155037.138_1056x1312_20432af6-e81c-4c9f-84f9-60c767f81d5e.png?v=1661199671,The SAEM - The SAEM Jeju Fresh Soothing Aloe Gel 99% (300ml),The SAEM Jeju Fresh Soothing Aloe Gel 99% (300ml) | The Skin Boutique,"The Skin Boutique Curates: The SAEM Jeju Fresh Soothing Aloe Gel 99% (300ml) A multi-purpose gel containing 99% aloe vera leaf juice from Jeju Island. Can be used to moisturize, repair, or relieve irritated or sensitive skin! Authentically sourced and independently curated by The Skin Boutique — your trusted destinatio",150.15
the-saem-jeju-fresh-soothing-aloe-gel-99-300ml,,,,,,,KY-10002-1,330.64,,TRUE,TRUE,100,deny,,,,,
shiseido-senka-perfect-whip-berry-bright-foam-cleanser-100g,Shiseido Senka Perfect Whip Berry Bright Foam Cleanser (100g),"<p><strong>The Skin Boutique Curates: Shiseido Senka Perfect Whip Berry Bright Foam Cleanser (100g)</strong></p>
<p>Richly foaming Perfect Whip cleanser featuring berries and blossom extract.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",Shiseido Senka,Foam Cleanser,"kbeauty, Shiseido Senka, Foam Cleanser",TRUE,KY-10003,371.97,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Untitled_d7aabd36-c602-4ec1-af7d-cf932b335501.png?v=1720637369,Shiseido Senka - Shiseido Senka Perfect Whip Berry Bright Foam Cleanser (100g),Shiseido Senka Perfect Whip Berry Bright Foam Cleanser (100g) | The Skin Boutique,The Skin Boutique Curates: Shiseido Senka Perfect Whip Berry Bright Foam Cleanser (100g) Richly foaming Perfect Whip cleanser featuring berries and blossom extract. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.,193.05
shiseido-senka-perfect-whip-vit-c-poreless-foam-cleanser-100g,Shiseido Senka Perfect Whip Vit C Poreless Foam Cleanser (100g),"<p><strong>The Skin Boutique Curates: Shiseido Senka Perfect Whip Vit C Poreless Foam Cleanser (100g)</strong></p>
<p>Richly foaming Perfect Whip cleanser featuring Vitamin C and antioxidants.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",Shiseido Senka,Foam Cleanser,"kbeauty, Shiseido Senka, Foam Cleanser",TRUE,KY-10004,371.97,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ShiseidoSenkaPerfectWhipVitaminCPorelessGlow.jpg?v=1720637452,Shiseido Senka - Shiseido Senka Perfect Whip Vit C Poreless Foam Cleanser (100g),Shiseido Senka Perfect Whip Vit C Poreless Foam Cleanser (100g) | The Skin Boutique,The Skin Boutique Curates: Shiseido Senka Perfect Whip Vit C Poreless Foam Cleanser (100g) Richly foaming Perfect Whip cleanser featuring Vitamin C and antioxidants. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.,193.05
cow-brand-bouncia-additive-free-cleansing-oil-pump-150ml,COW BRAND Bouncia Additive Free Cleansing Oil Pump (150ml),"<p><strong>The Skin Boutique Curates: COW BRAND Bouncia Additive Free Cleansing Oil Pump (150ml)</strong></p>
<p>A additive-free hypoallergenic oil cleanser that is specially designed for delicate skin.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",Cow Brand,Oil Cleanser,"kbeauty, Cow Brand, Oil Cleanser",TRUE,KY-10005,619.95,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/products/519WSfPZeVL._SY879.jpg?v=1655069690,Cow Brand - COW BRAND Bouncia Additive Free Cleansing Oil Pump (150ml),COW BRAND Bouncia Additive Free Cleansing Oil Pump (150ml) | The Skin Boutique,The Skin Boutique Curates: COW BRAND Bouncia Additive Free Cleansing Oil Pump (150ml) A additive-free hypoallergenic oil cleanser that is specially designed for delicate skin. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.,321.75
mapepe-natural-mix-brush-volume-care,MAPEPE Natural Mix Brush (Volume Care),"<p><strong>The Skin Boutique Curates: MAPEPE Natural Mix Brush (Volume Care)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Natural Mix Brush (Volume Care) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10006,702.61,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeVolumeCareBrush.png?v=1775529280,MAPEPE - MAPEPE Natural Mix Brush (Volume Care),MAPEPE Natural Mix Brush (Volume Care) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Natural Mix Brush (Volume Care) Experience the best of K-Beauty with MAPEPE Natural Mix Brush (Volume Care) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for prem,364.65
mapepe-detangling-brush-pocket-size,MAPEPE Detangling Brush (Pocket Size),"<p><strong>The Skin Boutique Curates: MAPEPE Detangling Brush (Pocket Size)</strong></p>
<p>Experience the best of K-Beauty with MAPEPE Detangling Brush (Pocket Size) by MAPEPE — a premium formula crafted to transform your skincare routine.</p>
<p><em>Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premium K-Beauty in South Africa.</em></p>",MAPEPE,Hair Tools,"kbeauty, MAPEPE, Hair Tools",TRUE,KY-10007-0,371.97,,TRUE,TRUE,100,deny,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/MapepeDetanglingBrushPocket.png?v=1775528853,MAPEPE - MAPEPE Detangling Brush (Pocket Size),MAPEPE Detangling Brush (Pocket Size) | The Skin Boutique,The Skin Boutique Curates: MAPEPE Detangling Brush (Pocket Size) Experience the best of K-Beauty with MAPEPE Detangling Brush (Pocket Size) by MAPEPE — a premium formula crafted to transform your skincare routine. Authentically sourced and independently curated by The Skin Boutique — your trusted destination for premiu,193.05
