Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src
abib-gummy-sheet-mask-madecassoside-sticker,"Gummy Sheet Mask Madecassoside Sticker","A professional-grade rescue treatment designed to soothe and restore sensitive complexions. This advanced sheet mask features 'Gummy' microfiber technology that adheres like a second skin, ensuring maximum absorption of the concentrated Madecassoside essence. Infused with Centella Asiatica and Ceramide NP, it rapidly neutralizes redness and fortifies the moisture barrier, leaving your skin exceptionally calm, hydrated, and resilient.","Abib","Masks","Abib, Masks",TRUE,Title,Default Title,ABIB-8693776515308,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Abib_Gummy_Sheet_Mask_Madecassoside_Sticker.png?v=1772983005
abib-collagen-eye-patch-jericho-rose-jelly-30-pairs-60-pcs,"Collagen Eye Patch Jericho Rose Jelly (30 Pairs / 60 pcs)","Rejuvenate tired eyes with these high-fidelity hydrogel patches powered by Jericho Rose Extract and specialized Vegan Collagen. Designed to instantly brighten and firm the delicate under-eye area, this clinical-grade treatment delivers intense hydration and targets fine lines with a proprietary blend of Niacinamide and Caffeine. The unique 'Rose Jelly' texture ensures a cooling, weightless fit that revitalizes and awakens the gaze.","Abib","Eye Care","Abib, Eye Care",TRUE,Title,Default Title,ABIB-8658393301228,580,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Abib-Collagen-eye-patch-Jericho-rose-jelly-60ea-90g.png?v=1769993318
abib-heartleaf-crme-calming-tube-75ml,"Heartleaf Crème Calming Tube (75ml)","An intensive botanical sanctuary for stressed complexions. This lightweight yet powerful calming cream utilizes 10,000ppm of Heartleaf Extract to rapidly neutralize irritation and balance sebum production. Fortified with 8 types of Hyaluronic Acid and Ceramide NP, it provides long-lasting, deep hydration while strengthening the skin's natural defenses. The 'Tube' format ensures clinical precision and freshness in every application.","Abib","Moisturizers","Abib, Moisturizers",TRUE,Title,Default Title,ABIB-8097324761324,495,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ProductPhotos_3_3029e8f0-bb1f-4e0b-9b82-35f332cea54f.png?v=1700939330
anua-heartleaf-centella-red-spot-cream-30g,"Heartleaf Centella Red Spot Cream (30g)","A precision spot treatment that combines the soothing power of Heartleaf with the barrier-restoring benefits of 6 distinct Ceramides. Formulated with Houttuynia Cordata to calm inflammation and balance sebum, while the 'Fluidrop' technology ensures active ingredients penetrate deep into the skin's layers to accelerate healing of red spots and blemishes. This mild, non-sticky formula wraps irritated areas in a protective, breathable film, leaving your complexion refined and resilient.","ANUA","Moisturizers","ANUA, Moisturizers",TRUE,Title,Default Title,ANUA-8995681272044,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_Centella_Red_Spot_Cream_30g.png?v=1772983941
anua-airy-sun-cream-spf-50-pa-50ml,"Airy Sun Cream SPF 50+ PA++++ (50ml)","An ultra-lightweight mineral sunscreen that provides elite protection without the typical white cast. Utilizing cutting-edge 'Powder Dispersion' technology, this SPF 50+ formula glides on like a serum, leaving a supple, 'Airy' finish. Infused with a botanical quartet of Centella Asiatica, Heartleaf, Tea Tree, and Mugwort, it actively calms seasonal sensitivity while shielding your skin from aging UV damage and environmental pollutants.","ANUA","Sun Care","ANUA, Sun Care",TRUE,Title,Default Title,ANUA-8933180276972,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Airy_Sun_Cream_SPF_50_PA_50ml.png?v=1772983546
anua-azelaic-acid-10-hyaluron-soothing-serum-30ml,"Azelaic Acid 10 Hyaluron Soothing Serum (30ml)","A transformative treatment serum powered by 10% Azelaic Acid to target hyperpigmentation and uneven texture. This high-performance formula is balanced with a soothing core of Centella Asiatica and Green Tea to prevent irritation, while Zinc PCA monitors blemish-causing oils. Hyaluronic Acid and Squalane provide a weightless moisture veil, ensuring your skin remains supple and glowing as the active ingredients work to refine your complexion and minimize the appearance of fine lines.","ANUA","Serums","ANUA, Serums",TRUE,Title,Default Title,ANUA-8755559891180,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA-43-01_1.webp?v=1766074516
anua-anua-peach-niacin-serum-mask,"ANUA Peach Niacin Serum Mask","Experience the ultimate glow with this silk-adhesive mask soaked in a powerhouse serum of 70% Peach Extract and 2% Niacinamide. This premium K-Beauty treatment delivers an instant 'Glass Skin' effect, neutralizing dullness and refining texture with a proprietary blend of Vitamin B12 and Pink Yeast. Perfectly contoured to the face, it forces active hydration deep into the dermis for a revitalized, peach-soft complexion that radiates health.","ANUA","Masks","ANUA, Masks",TRUE,Title,Default Title,ANUA-8716254773484,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Peach_Niacin_Serum_Mask.png?v=1772984285
anua-anua-heartleaf-87-low-ph-deep-cleansing-water-500g,"ANUA Heartleaf 87 Low pH Deep Cleansing Water (500g)","A colossal 500g bottle of pure clarity. This low-pH cleansing water utilizes a 'Fluid Micellar' system to lift impurities, heavy makeup, and micro-dust without disrupting the skin's delicate acid mantle. Infused with 87% Heartleaf Extract and plant-derived Squalane, it calms sensitivity on contact while ensuring the moisture barrier remains intact. A professional-grade first cleanse that leaves skin perfectly prepped, hydrated, and resilient.","ANUA","Cleansers","ANUA, Cleansers",TRUE,Title,Default Title,ANUA-8716302516460,350,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_90_a9406654-4d10-4d2f-b157-240a6edca7c9.png?v=1769082342
anua-anua-rice-70-glow-milky-toner-250ml,"ANUA Rice 70 Glow Milky Toner (250ml)","A luxurious milky toner that brightens and moisturizes to reveal a weightless porcelain glow. Formulated with 70% Rice Water and fortified with a proprietary Cera-Protein complex, it actively repairs the moisture barrier while Niacinamide refines texture and clarity. This high-performance formula provides the deep hydration of a cream with the ethereal lightness of a toner, delivering the ultimate 'Glass Skin' finish for even the most sensitive complexions.","ANUA","Toners","ANUA, Toners",TRUE,Title,Default Title,ANUA-8585797894380,420,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/processed_cmd0t3j2g04qan5u6o2xp93my_1752359403622.png?v=1752359408
anua-anua-heartleaf-70-soothing-cream-100ml,"ANUA Heartleaf 70% Soothing Cream (100ml)","A professional-grade soothing sanctuary for irritated skin. This intensive gel-cream utilizes 70% Heartleaf Extract and Panthenol to provide dual-action relief: immediate cooling and deep moisture barrier repair. Enhanced with a quintet of Centella Asiatica derivatives, it rapidly neutralizes redness and strengthens the skin's natural defenses. The weightless, non-comedogenic texture melts into the skin, leaving a calm, hydrated, and perfectly balanced finish without a hint of greasiness.","ANUA","Moisturizers","ANUA, Moisturizers",TRUE,Title,Default Title,ANUA-8493012877548,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/ANUA_Heartleaf_70__Soothing_Cream__100m_PNG.png?v=1769695652
